Champion: Karma 2 
 Items: Blue Buff,Archangels 
 Buffs: Invoker 2
t 0.03, dmg 72.56, type physical 
t 2.90, dmg 370.62, type magical 
t 2.90, dmg 370.62, type magical 
t 4.33, dmg 81.52, type physical 
t 4.43, dmg 393.12, type magical 
t 4.43, dmg 393.12, type magical 
t 5.87, dmg 81.52, type physical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 7.40, dmg 81.52, type physical 
t 7.50, dmg 415.62, type magical 
t 7.50, dmg 415.62, type magical 
t 8.93, dmg 81.52, type physical 
t 9.03, dmg 426.88, type magical 
t 9.03, dmg 426.88, type magical 
t 10.47, dmg 81.52, type physical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 12.00, dmg 81.52, type physical 
t 12.10, dmg 449.38, type magical 
t 12.10, dmg 449.38, type magical 
t 13.53, dmg 81.52, type physical 
t 13.63, dmg 460.62, type magical 
t 13.63, dmg 460.62, type magical 
t 15.07, dmg 81.52, type physical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 16.60, dmg 81.52, type physical 
t 16.67, dmg 483.12, type magical 
t 16.67, dmg 483.12, type magical 
t 18.10, dmg 81.52, type physical 
t 18.17, dmg 494.38, type magical 
t 18.17, dmg 494.38, type magical 
t 19.60, dmg 81.52, type physical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 21.10, dmg 81.52, type physical 
t 21.17, dmg 516.88, type magical 
t 21.17, dmg 516.88, type magical 

Champion: Karma 2 
 Items: Archangels,Archangels 
 Buffs: Invoker 2
t 0.03, dmg 72.56, type physical 
t 1.43, dmg 72.56, type physical 
t 1.43, dmg 412.50, type magical 
t 1.43, dmg 412.50, type magical 
t 2.87, dmg 72.56, type physical 
t 4.30, dmg 72.56, type physical 
t 5.73, dmg 72.56, type physical 
t 5.73, dmg 491.25, type magical 
t 5.73, dmg 491.25, type magical 
t 7.17, dmg 72.56, type physical 
t 8.60, dmg 72.56, type physical 
t 8.60, dmg 536.25, type magical 
t 8.60, dmg 536.25, type magical 
t 10.03, dmg 72.56, type physical 
t 10.13, dmg 558.75, type magical 
t 10.13, dmg 558.75, type magical 
t 10.13, dmg 558.75, type magical 
t 10.13, dmg 558.75, type magical 
t 10.13, dmg 558.75, type magical 
t 10.13, dmg 558.75, type magical 
t 11.57, dmg 72.56, type physical 
t 11.67, dmg 581.25, type magical 
t 11.67, dmg 581.25, type magical 
t 13.10, dmg 72.56, type physical 
t 13.20, dmg 603.75, type magical 
t 13.20, dmg 603.75, type magical 
t 14.63, dmg 72.56, type physical 
t 14.73, dmg 626.25, type magical 
t 14.73, dmg 626.25, type magical 
t 14.73, dmg 626.25, type magical 
t 14.73, dmg 626.25, type magical 
t 14.73, dmg 626.25, type magical 
t 14.73, dmg 626.25, type magical 
t 16.17, dmg 72.56, type physical 
t 16.23, dmg 648.75, type magical 
t 16.23, dmg 648.75, type magical 
t 17.67, dmg 72.56, type physical 
t 17.73, dmg 671.25, type magical 
t 17.73, dmg 671.25, type magical 
t 19.17, dmg 72.56, type physical 
t 19.23, dmg 693.75, type magical 
t 19.23, dmg 693.75, type magical 
t 19.23, dmg 693.75, type magical 
t 19.23, dmg 693.75, type magical 
t 19.23, dmg 693.75, type magical 
t 19.23, dmg 693.75, type magical 
t 20.67, dmg 72.56, type physical 
t 20.73, dmg 716.25, type magical 
t 20.73, dmg 716.25, type magical 

Champion: Karma 2 
 Items: Blue Buff,Rabadon's Deathcap 
 Buffs: Invoker 2
t 0.03, dmg 72.56, type physical 
t 1.43, dmg 72.56, type physical 
t 1.43, dmg 425.00, type magical 
t 1.43, dmg 425.00, type magical 
t 2.87, dmg 72.56, type physical 
t 4.30, dmg 72.56, type physical 
t 4.30, dmg 425.00, type magical 
t 4.30, dmg 425.00, type magical 
t 5.73, dmg 72.56, type physical 
t 5.83, dmg 425.00, type magical 
t 5.83, dmg 425.00, type magical 
t 7.27, dmg 72.56, type physical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 8.80, dmg 72.56, type physical 
t 8.90, dmg 425.00, type magical 
t 8.90, dmg 425.00, type magical 
t 10.33, dmg 72.56, type physical 
t 10.43, dmg 425.00, type magical 
t 10.43, dmg 425.00, type magical 
t 11.87, dmg 72.56, type physical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 13.40, dmg 72.56, type physical 
t 13.50, dmg 425.00, type magical 
t 13.50, dmg 425.00, type magical 
t 14.93, dmg 72.56, type physical 
t 15.03, dmg 425.00, type magical 
t 15.03, dmg 425.00, type magical 
t 16.47, dmg 72.56, type physical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 17.97, dmg 72.56, type physical 
t 18.03, dmg 425.00, type magical 
t 18.03, dmg 425.00, type magical 
t 19.47, dmg 72.56, type physical 
t 19.53, dmg 425.00, type magical 
t 19.53, dmg 425.00, type magical 
t 20.97, dmg 72.56, type physical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 

Champion: Karma 2 
 Items: Spear of Shojin,Rabadon's Deathcap 
 Buffs: Invoker 2
t 0.03, dmg 81.52, type physical 
t 1.43, dmg 81.52, type physical 
t 1.43, dmg 425.00, type magical 
t 1.43, dmg 425.00, type magical 
t 2.87, dmg 81.52, type physical 
t 4.30, dmg 81.52, type physical 
t 4.30, dmg 425.00, type magical 
t 4.30, dmg 425.00, type magical 
t 5.73, dmg 81.52, type physical 
t 5.83, dmg 425.00, type magical 
t 5.83, dmg 425.00, type magical 
t 7.27, dmg 81.52, type physical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 7.37, dmg 425.00, type magical 
t 8.80, dmg 81.52, type physical 
t 8.90, dmg 425.00, type magical 
t 8.90, dmg 425.00, type magical 
t 10.33, dmg 81.52, type physical 
t 10.43, dmg 425.00, type magical 
t 10.43, dmg 425.00, type magical 
t 11.87, dmg 81.52, type physical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 11.97, dmg 425.00, type magical 
t 13.40, dmg 81.52, type physical 
t 13.50, dmg 425.00, type magical 
t 13.50, dmg 425.00, type magical 
t 14.93, dmg 81.52, type physical 
t 15.03, dmg 425.00, type magical 
t 15.03, dmg 425.00, type magical 
t 16.47, dmg 81.52, type physical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 16.53, dmg 425.00, type magical 
t 17.97, dmg 81.52, type physical 
t 18.03, dmg 425.00, type magical 
t 18.03, dmg 425.00, type magical 
t 19.47, dmg 81.52, type physical 
t 19.53, dmg 425.00, type magical 
t 19.53, dmg 425.00, type magical 
t 20.97, dmg 81.52, type physical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 
t 21.03, dmg 425.00, type magical 

Champion: Karma 2 
 Items: Jeweled Gauntlet,Infinity Edge 
 Buffs: Invoker 2
t 0.03, dmg 140.29, type physical 
t 1.43, dmg 140.29, type physical 
t 2.87, dmg 140.29, type physical 
t 4.30, dmg 140.29, type physical 
t 4.30, dmg 508.75, type magical 
t 4.30, dmg 508.75, type magical 
t 5.73, dmg 140.29, type physical 
t 7.17, dmg 140.29, type physical 
t 8.60, dmg 140.29, type physical 
t 8.60, dmg 508.75, type magical 
t 8.60, dmg 508.75, type magical 
t 10.03, dmg 140.29, type physical 
t 11.47, dmg 140.29, type physical 
t 11.47, dmg 508.75, type magical 
t 11.47, dmg 508.75, type magical 
t 12.90, dmg 140.29, type physical 
t 13.00, dmg 508.75, type magical 
t 13.00, dmg 508.75, type magical 
t 13.00, dmg 508.75, type magical 
t 13.00, dmg 508.75, type magical 
t 13.00, dmg 508.75, type magical 
t 13.00, dmg 508.75, type magical 
t 14.43, dmg 140.29, type physical 
t 14.53, dmg 508.75, type magical 
t 14.53, dmg 508.75, type magical 
t 15.97, dmg 140.29, type physical 
t 16.07, dmg 508.75, type magical 
t 16.07, dmg 508.75, type magical 
t 17.50, dmg 140.29, type physical 
t 17.57, dmg 508.75, type magical 
t 17.57, dmg 508.75, type magical 
t 17.57, dmg 508.75, type magical 
t 17.57, dmg 508.75, type magical 
t 17.57, dmg 508.75, type magical 
t 17.57, dmg 508.75, type magical 
t 19.00, dmg 140.29, type physical 
t 19.07, dmg 508.75, type magical 
t 19.07, dmg 508.75, type magical 
t 20.50, dmg 140.29, type physical 
t 20.57, dmg 508.75, type magical 
t 20.57, dmg 508.75, type magical 

Champion: Karma 2 
 Items: Blue Buff,Spear of Shojin 
 Buffs: Invoker 2
t 0.03, dmg 81.52, type physical 
t 0.03, dmg 250.00, type magical 
t 0.03, dmg 250.00, type magical 
t 1.47, dmg 81.52, type physical 
t 1.53, dmg 250.00, type magical 
t 1.53, dmg 250.00, type magical 
t 2.97, dmg 81.52, type physical 
t 3.07, dmg 250.00, type magical 
t 3.07, dmg 250.00, type magical 
t 4.50, dmg 81.52, type physical 
t 4.60, dmg 250.00, type magical 
t 4.60, dmg 250.00, type magical 
t 4.60, dmg 250.00, type magical 
t 4.60, dmg 250.00, type magical 
t 4.60, dmg 250.00, type magical 
t 4.60, dmg 250.00, type magical 
t 6.03, dmg 81.52, type physical 
t 6.13, dmg 250.00, type magical 
t 6.13, dmg 250.00, type magical 
t 7.57, dmg 81.52, type physical 
t 7.67, dmg 250.00, type magical 
t 7.67, dmg 250.00, type magical 
t 9.10, dmg 81.52, type physical 
t 9.20, dmg 250.00, type magical 
t 9.20, dmg 250.00, type magical 
t 9.20, dmg 250.00, type magical 
t 9.20, dmg 250.00, type magical 
t 9.20, dmg 250.00, type magical 
t 9.20, dmg 250.00, type magical 
t 10.63, dmg 81.52, type physical 
t 10.73, dmg 250.00, type magical 
t 10.73, dmg 250.00, type magical 
t 12.17, dmg 81.52, type physical 
t 12.27, dmg 250.00, type magical 
t 12.27, dmg 250.00, type magical 
t 13.70, dmg 81.52, type physical 
t 13.80, dmg 250.00, type magical 
t 13.80, dmg 250.00, type magical 
t 13.80, dmg 250.00, type magical 
t 13.80, dmg 250.00, type magical 
t 13.80, dmg 250.00, type magical 
t 13.80, dmg 250.00, type magical 
t 15.23, dmg 81.52, type physical 
t 15.33, dmg 250.00, type magical 
t 15.33, dmg 250.00, type magical 
t 16.77, dmg 81.52, type physical 
t 16.83, dmg 250.00, type magical 
t 16.83, dmg 250.00, type magical 
t 18.27, dmg 81.52, type physical 
t 18.33, dmg 250.00, type magical 
t 18.33, dmg 250.00, type magical 
t 18.33, dmg 250.00, type magical 
t 18.33, dmg 250.00, type magical 
t 18.33, dmg 250.00, type magical 
t 18.33, dmg 250.00, type magical 
t 19.77, dmg 81.52, type physical 
t 19.83, dmg 250.00, type magical 
t 19.83, dmg 250.00, type magical 
t 21.27, dmg 81.52, type physical 
t 21.33, dmg 250.00, type magical 
t 21.33, dmg 250.00, type magical 

Champion: Karma 2 
 Items: Blue Buff,Hand of Justice 
 Buffs: Invoker 2
t 0.03, dmg 117.60, type physical 
t 0.03, dmg 362.50, type magical 
t 0.03, dmg 362.50, type magical 
t 1.47, dmg 117.60, type physical 
t 2.90, dmg 117.60, type physical 
t 2.90, dmg 362.50, type magical 
t 2.90, dmg 362.50, type magical 
t 4.33, dmg 117.60, type physical 
t 4.43, dmg 362.50, type magical 
t 4.43, dmg 362.50, type magical 
t 5.87, dmg 117.60, type physical 
t 5.97, dmg 362.50, type magical 
t 5.97, dmg 362.50, type magical 
t 5.97, dmg 362.50, type magical 
t 5.97, dmg 362.50, type magical 
t 5.97, dmg 362.50, type magical 
t 5.97, dmg 362.50, type magical 
t 7.40, dmg 117.60, type physical 
t 7.50, dmg 362.50, type magical 
t 7.50, dmg 362.50, type magical 
t 8.93, dmg 117.60, type physical 
t 9.03, dmg 362.50, type magical 
t 9.03, dmg 362.50, type magical 
t 10.47, dmg 117.60, type physical 
t 10.57, dmg 362.50, type magical 
t 10.57, dmg 362.50, type magical 
t 10.57, dmg 362.50, type magical 
t 10.57, dmg 362.50, type magical 
t 10.57, dmg 362.50, type magical 
t 10.57, dmg 362.50, type magical 
t 12.00, dmg 117.60, type physical 
t 12.10, dmg 362.50, type magical 
t 12.10, dmg 362.50, type magical 
t 13.53, dmg 117.60, type physical 
t 13.63, dmg 362.50, type magical 
t 13.63, dmg 362.50, type magical 
t 15.07, dmg 117.60, type physical 
t 15.17, dmg 362.50, type magical 
t 15.17, dmg 362.50, type magical 
t 15.17, dmg 362.50, type magical 
t 15.17, dmg 362.50, type magical 
t 15.17, dmg 362.50, type magical 
t 15.17, dmg 362.50, type magical 
t 16.60, dmg 117.60, type physical 
t 16.67, dmg 362.50, type magical 
t 16.67, dmg 362.50, type magical 
t 18.10, dmg 117.60, type physical 
t 18.17, dmg 362.50, type magical 
t 18.17, dmg 362.50, type magical 
t 19.60, dmg 117.60, type physical 
t 19.67, dmg 362.50, type magical 
t 19.67, dmg 362.50, type magical 
t 19.67, dmg 362.50, type magical 
t 19.67, dmg 362.50, type magical 
t 19.67, dmg 362.50, type magical 
t 19.67, dmg 362.50, type magical 
t 21.10, dmg 117.60, type physical 
t 21.17, dmg 362.50, type magical 
t 21.17, dmg 362.50, type magical 

Champion: Karma 2 
 Items: Jeweled Gauntlet,Rabadon's Deathcap 
 Buffs: Invoker 2
t 0.03, dmg 86.40, type physical 
t 1.43, dmg 86.40, type physical 
t 2.87, dmg 86.40, type physical 
t 4.30, dmg 86.40, type physical 
t 4.30, dmg 576.00, type magical 
t 4.30, dmg 576.00, type magical 
t 5.73, dmg 86.40, type physical 
t 7.17, dmg 86.40, type physical 
t 8.60, dmg 86.40, type physical 
t 8.60, dmg 576.00, type magical 
t 8.60, dmg 576.00, type magical 
t 10.03, dmg 86.40, type physical 
t 11.47, dmg 86.40, type physical 
t 11.47, dmg 576.00, type magical 
t 11.47, dmg 576.00, type magical 
t 12.90, dmg 86.40, type physical 
t 13.00, dmg 576.00, type magical 
t 13.00, dmg 576.00, type magical 
t 13.00, dmg 576.00, type magical 
t 13.00, dmg 576.00, type magical 
t 13.00, dmg 576.00, type magical 
t 13.00, dmg 576.00, type magical 
t 14.43, dmg 86.40, type physical 
t 14.53, dmg 576.00, type magical 
t 14.53, dmg 576.00, type magical 
t 15.97, dmg 86.40, type physical 
t 16.07, dmg 576.00, type magical 
t 16.07, dmg 576.00, type magical 
t 17.50, dmg 86.40, type physical 
t 17.57, dmg 576.00, type magical 
t 17.57, dmg 576.00, type magical 
t 17.57, dmg 576.00, type magical 
t 17.57, dmg 576.00, type magical 
t 17.57, dmg 576.00, type magical 
t 17.57, dmg 576.00, type magical 
t 19.00, dmg 86.40, type physical 
t 19.07, dmg 576.00, type magical 
t 19.07, dmg 576.00, type magical 
t 20.50, dmg 86.40, type physical 
t 20.57, dmg 576.00, type magical 
t 20.57, dmg 576.00, type magical 

